Name,Price,Image,Winery,Grapes,Region,Wine Style,Product URL
"Chateau Montrose, Saint-Estephe 1981","$1,531.00","images\Chateau_Montrose,_Saint-Estephe_1981.jpg",Château Montrose,"Cabernet Sauvignon, Merlot",France / Bordeaux / Médoc / Saint-Estèphe,Bordeaux Saint-Estèphe,https://vinewineltd.com/product/chateau-montrose-1981/
Chateau Prieure-Lichine 1986,$758.00,images\Chateau_Prieure-Lichine_1986.jpg,Château Prieuré-Lichine,Cabernet Sauvignon,France / Bordeaux / Médoc / Margaux,Bordeaux Margaux,https://vinewineltd.com/product/chateau-prieure-lichine-1986/
Chateau Boyd-Cantenac 1995,$698.00,images\Chateau_Boyd-Cantenac_1995.jpg,Château Boyd-Cantenac,Cabernet Sauvignon,France / Bordeaux / Médoc / Margaux,Bordeaux Margaux,https://vinewineltd.com/product/chateau-boyd-cantenac-1995/
Chateau Duhart-Milon 2001,$718.00,images\Chateau_Duhart-Milon_2001.jpg,Château Duhart-Milon,100% Cabernet Sauvignon,France / Bordeaux / Médoc / Pauillac,Bordeaux Pauillac,https://vinewineltd.com/product/chateau-duhart-milon-2001/
Chateau Du Bois de Tau 2022,$129.00,images\Chateau_Du_Bois_de_Tau_2022.jpg,Château du Bois de Tau,"Cabernet Sauvignon, Cabernet Franc, Merlot",France / Bordeaux / Côtes de Bordeaux / Côtes de Bourg,Bordeaux Red,https://vinewineltd.com/product/chateau-du-bois-de-tau-2022/
"Chateau Giscours, Margaux 1999",$780.00,"images\Chateau_Giscours,_Margaux_1999.jpg",Château Giscours,"Merlot, Cabernet Sauvignon, Cabernet Franc",France / Bordeaux / Médoc / Margaux,Bordeaux Margaux,https://vinewineltd.com/product/chateau-giscours-1999/
Chateau Lafite Rothschild ‘Carruades de Lafite’ Pauillac 2010,"$2,480.00",images\Chateau_Lafite_Rothschild_‘Carruades_de_Lafite’_Pauillac_2010.jpg,,,,,https://vinewineltd.com/product/chateau-lafite-rothschild-carruades-de-lafite-pauillac-2010/
Chateau Talbot Saint-Julien 1949 (Re-corked by the Chateau with single wooden case),"$9,998.00",images\Chateau_Talbot_Saint-Julien_1949_(Re-corked_by_the_Chateau_with_single_wooden_case).jpg,Château Talbot,Cabernet Sauvignon,France / Bordeaux / Médoc / Saint-Julien,Bordeaux Saint-Julien,https://vinewineltd.com/product/chateau-talbot-saint-julien-1949-re-corked-by-the-chateau-with-single-wooden-case/
Chateau Gruaud-Larose Saint-Julien 2014,$998.00,images\Chateau_Gruaud-Larose_Saint-Julien_2014.jpg,Château Gruaud Larose,"61% Cabernet Sauvignon, 29% Merlot, 7% Cabernet Franc, 3% Petit Verdot",France / Bordeaux / Médoc / Saint-Julien,Bordeaux Saint-Julien,https://vinewineltd.com/product/chateau-gruaud-larose-saint-julien-2014/
Chateau Haut-Bailly Pessac-Leognan 2014,$850.00,images\Chateau_Haut-Bailly_Pessac-Leognan_2014.jpg,Château Haut-Bailly,,France / Bordeaux / Graves / Pessac-Léognan,Bordeaux Pessac-Léognan,https://vinewineltd.com/product/chateau-haut-bailly-pessac-leognan-2014/
Chateau Rauzan-Segla Margaux 2014,$620.00,images\Chateau_Rauzan-Segla_Margaux_2014.jpg,Château Rauzan-Ségla,"56% Cabernet Sauvignon, 42% Merlot, 1% Petit Verdot and 1% Cabernet Franc",France / Bordeaux / Médoc / Margaux,Bordeaux Margaux,https://vinewineltd.com/product/chateau-rauzan-segla-margaux-2014/
Chateau Bouscaut Pessac-Leognan 2015,$328.00,images\Chateau_Bouscaut_Pessac-Leognan_2015.jpg,Château Bouscaut,,France / Bordeaux / Graves / Pessac-Léognan,Bordeaux Pessac-Léognan,https://vinewineltd.com/product/chateau-bouscaut-pessac-leognan-2015/
Chateau Kirwan Margaux 2015,$517.00,images\Chateau_Kirwan_Margaux_2015.jpg,Chateau Kirwan,,France / Bordeaux / Médoc / Margaux,Bordeaux Margaux,https://vinewineltd.com/product/chateau-kirwan-margaux-2015/
Chateau Montrose Saint-Estephe 2015,"$1,595.00",images\Chateau_Montrose_Saint-Estephe_2015.jpg,Château Montrose,,France / Bordeaux / Médoc / Saint-Estèphe,Bordeaux Saint-Estèphe,https://vinewineltd.com/product/chateau-montrose-saint-estephe-2015/
Chateau Leoville Poyferre Saint-Julien 2016,$865.00,images\Chateau_Leoville_Poyferre_Saint-Julien_2016.jpg,Château Léoville Poyferré,"60% Cabernet Sauvignon, 33% Merlot, 5% Petit Verdot and 2% Cabernet Franc",France / Bordeaux / Médoc / Saint-Julien,Saint-Julien,https://vinewineltd.com/product/chateau-leoville-poyferre-saint-julien-2016/
Chateau Monbousquet Blanc Bordeaux 2016,$480.00,images\Chateau_Monbousquet_Blanc_Bordeaux_2016.jpg,Château Monbousquet,"60% Sauvignon Blanc, 30% Sauvignon Gris and 5% each of Muscadelle and Sémillon",France / Bordeaux,Bordeaux White,https://vinewineltd.com/product/chateau-monbousquet-blanc-bordeaux-2016/
